"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"RECK","0.266","0.331","0.305","1","hsa-miR-503-5p","","",""
"SEC16A","0.266","0.331","0.305","1","hsa-miR-503-5p","","",""
"TNPO3","0.266","0.331","0.305","1","hsa-miR-24-3p","","",""
"ZNF860","0.266","0.331","0.305","1","hsa-miR-5010-3p","","",""
"APOBEC3F","0.270","0.333","0.309","1","hsa-miR-24-3p","","",""
"ATG2A","0.270","0.333","0.309","1","hsa-miR-215-5p","","",""
"BCL2L2-PABPN1","0.270","0.333","0.309","1","hsa-miR-1180-3p","","",""
"CLOCK","0.270","0.333","0.309","1","hsa-miR-5010-3p","","",""
"CRTAP","0.270","0.333","0.309","1","hsa-miR-24-3p","","",""
"PAPOLG","0.270","0.333","0.309","1","hsa-miR-503-5p","","",""
"PIK3R1","0.270","0.333","0.309","1","hsa-miR-503-5p","","",""
"RUNX1","0.270","0.333","0.309","1","hsa-miR-215-5p","","",""
"SIKE1","0.270","0.333","0.309","1","hsa-miR-146a-5p","","",""
"STK35","0.270","0.333","0.309","1","hsa-miR-24-3p","","",""
"TFRC","0.270","0.333","0.309","1","hsa-miR-3074-5p","","",""
"TRAPPC10","0.270","0.333","0.309","1","hsa-miR-503-5p","","",""
"CLIP1","0.273","0.335","0.314","1","hsa-miR-5010-3p","","",""
"DEGS1","0.273","0.335","0.314","1","hsa-miR-215-5p","","",""
"DLG5","0.273","0.335","0.314","1","hsa-miR-215-5p","","",""
"EEF1A1","0.273","0.335","0.314","1","hsa-miR-24-3p","","",""
"FADS1","0.273","0.335","0.314","1","hsa-miR-215-5p","","",""
"NNT","0.273","0.335","0.314","1","hsa-miR-503-5p","","",""
"PNRC2","0.273","0.335","0.314","1","hsa-miR-503-5p","","",""
"SLC39A9","0.273","0.335","0.314","1","hsa-miR-215-5p","","",""
